seno,name,lati,longi
sh99974,서울특별시청,37.566682,126.978418
sh99975,강동구,37.530140,127.123731
sh99976,송파구,37.514451,127.105902
sh99977,강남구,37.517268,127.047369
sh99978,서초구,37.483559,127.032670
sh99979,관악구,37.478140,126.951477
sh99980,동작구,37.512400,126.939475
sh99981,영등포구,37.526329,126.896247
sh99982,금천구,37.456899,126.895414
sh99983,구로구,37.495456,126.887444
sh99984,강서구,37.550890,126.849566
sh99985,양천구,37.517010,126.866632
sh99986,마포구,37.566205,126.901635
sh99987,서대문구,37.579183,126.936762
sh99988,은평구,37.602783,126.929155
sh99989,노원구,37.654100,127.056303
sh99990,도봉구,37.668758,127.047037
sh99991,강북구,37.639775,127.025527
sh99992,성북구,37.589371,127.016726
sh99993,중랑구,37.606572,127.092633
sh99994,동대문구,37.574429,127.039715
sh99995,광진구,37.538527,127.082365
sh99996,성동구,37.563444,127.036964
sh99997,용산구,37.532459,126.990266
sh99998,중구,37.563763,126.997560
sh99999,종로구,37.573173,126.979527
